institution_key,institution_name,academic_unit_key,academic_unit_name,program_key,program_name,plan_code,plan_valid_from,plan_valid_to,requirement_ordinal,subject_code,subject_name,requirement_type,curriculum_year,year_source,term,is_annual,min_options,max_options,label_truncated,elective_for,needs_review,source_type,source_reference
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,11,00251,ANTROPOLOGIA,COURSE,2,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,12,10139,ANALISIS MATEMATICO II,COURSE,2,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,13,10226,ESTADISTICA Y PROBABILIDAD,COURSE,2,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,14,10140,FISICA II,COURSE,2,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,15,21546,PROGRAMACION II,COURSE,2,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,16,10182,LABORATORIO DE COMPUTACION (…,COURSE,2,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,true,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,17,10142,QUIMICA GENERAL,COURSE,2,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,18,20053,ANALISIS NUMERICO,COURSE,2,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,19,20097,FISICA III,COURSE,2,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,20,20161,PROGRAMACION III,COURSE,2,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,21,20098,ANALISIS MATEMATICO III,COURSE,2,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,22,00328,PENSAMIENTO TEOLOGICO,COURSE,3,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,23,10154,GESTION AMBIENTAL,COURSE,3,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,24,10162,SISTEMAS DE INFORMACION,COURSE,3,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,25,10184,ARQUITECTURA DE SOFTWARE I,COURSE,3,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,26,10200,LENGUAJES FORMALES Y AUTOMA…,COURSE,3,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,true,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,27,20162,ARQUITECTURA COMPUTADORAS,COURSE,3,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,true,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,28,10201,BASES DE DATOS I,COURSE,3,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,29,20193,MODELOS Y SIMULACION,COURSE,3,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,30,20179,INGENIERIA DE SOFTWARE I,COURSE,3,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,31,20180,ELECTIVA I,ELECTIVE_SLOT,3,agrupamiento visible en el analítico; encabezado de columna no legible,,,1,1,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,32,10185,ARQUITECTURA DE SOFTWARE II,COURSE,3,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,33,10207,ARQUITECTURA COMPUTADORAS,COURSE,3,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,true,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,34,20182,BASES DE DATOS II,COURSE,3,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,35,00254,PENSAMIENTO SOCIAL CRISTIANO,COURSE,4,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,36,10217,SEGUR. Y AUDITOR. INFORMATICA,COURSE,4,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,37,10202,INGENIERIA DE SOFTWARE II,COURSE,4,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,38,10203,ELECTIVA II,ELECTIVE_SLOT,4,agrupamiento visible en el analítico; encabezado de columna no legible,,,1,1,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,39,20168,REDES TELEINFORMATICAS I,COURSE,4,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,40,10211,SISTEMAS OPERATIVOS,COURSE,4,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,41,20104,ECONOMIA,COURSE,4,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,42,10212,REDES TELEINFORMATICAS II,COURSE,4,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,43,22136,ORGANIZ. Y ADMIN. DE EMPRESAS,COURSE,4,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,44,20184,INGENIERIA DE SOFTWARE III,COURSE,4,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,45,20173,COMPUTACION GRAFICA,COURSE,4,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,46,00255,ETICA Y DEONTOLOGIA PROFESION…,COURSE,5,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,true,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,47,10098,SEMINARIO DE FORMACION HUMAN…,COURSE,5,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,true,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,48,10156,INGENIERIA LEGAL,COURSE,5,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,49,10204,ADMINISTR. PROY. DE SOFTWARE…,COURSE,5,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,true,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,50,10216,SISTEMAS INTELIGENTES,COURSE,5,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,51,20071,SEMINARIO DE FORMACION HUMAN…,COURSE,5,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,true,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,52,20185,EMPRENDEDORISMO,COURSE,5,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,53,10220,CALIDAD DE SOFTWARE,COURSE,5,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,54,20186,SEMINARIO,UNKNOWN,5,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,55,00299,PRACTICA PROF. SUPERVISADA,PROFESSIONAL_PRACTICE,5,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,56,00324,ACRED. INGLES,LANGUAGE_REQUIREMENT,5,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,57,00301,TRABAJO FINAL,CAPSTONE,5,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
